"","V1","V2","V3"
"04102","B670206","B670403","B430101"
"04103","C070101","C120101","C120201"
"04104","A010401","A010402","A010404"
"04105","C070103","C070202","C150401"
"04106","A010404","A010902","A010302"
"04107","B050501","B430101","B100501"
"04108","C110101","C070101","C130302"
"04109","A010601","A010401","A010613"
"04110","C070103","C030401","C110101"
"04111","A020302","A010602","A010623"
"04112","B100306","B150401","B150102"
"04113","B160402","B100402","B100103"
"04114","C010206","C170701","C070101"
"04115","C170206","C110101","B210802"
"04116","A010302","A010404","A010403"
"04117","A010403","A010404","A010402"
"04118","C010206","C070101","C030901"
"04119","A040224","A010613","A090311"
"04120","A040401","A020302","A010613"
"04121","A010901","A040222","A040215"
"04122","A020302","A040302","A011001"
"04123","B210802","B200801","B140101"
"04124","B100305","B160201","B140103"
"04125","A090101","A050501","A020701"
"04126","A060114","B100305","B140103"
"04127","A011001","A010608","A010101"
"04128","C030401","C030402","C080201"
"04129","A040228","A010606","A020303"
"04130","B100305","B740101","B140101"
"04131","A010403","A020303","A020302"
"04132","B100305","B740101","B200801"
"04133","A040222","A040220","A040209"
"04134","A010402","A040214","A010501"
"04135","A010401","A010402","A010613"
"04136","A010401","C110101","A010403"
"04137","A010644","A010404","A010710"
"04138","A010302","A010401","A040224"
"04139","A010631","A010613","B371001"
"04140","A010404","A010608","A010302"
"04141","A010302","A020302","A040209"
"04142","A010404","A010302","A011004"
"04143","C170206","C030901","C070102"
"04144","B900103","B100305","B710101"
"04145","C170206","B210802","C030901"
"04146","B140103","B100305","B140101"
"04147","A010403","A010302","A010401"
"04148","A010612","A020302","A010603"
"04149","C010206","C030401","C010110"
"04150","B210802","B100504","B100305"
"04151","C150405","C070101","C030901"
"04152","C170206","B210802","B210107"
"04153","A010613","A010401","A040224"
"04154","B100504","B140101","B100502"
"04155","A010401","A010903","A010606"
"04156","A010402","A010403","A010404"
"04157","C080201","C120201","C010202"
"04158","A010403","A010903","A040224"
"04159","C070101","C090101","C110202"
"04160","C120101","C120601","C150101"
"04161","A010401","A010901","A060166"
"04162","B160201","B160202","B071001"
"04163","A010401","A010402","A010404"
"04164","C070101","C150101","C030401"
"04165","A010644","A010624","A010602"
"04166","A010613","A040224","A010302"
"04167","B210802","A010606","A011004"
"04168","B080601","B100305","B100502"
"04169","A040224","A010403","A010401"
"04170","B160202","B810201","B070501"
"04171","A020302","A040224","A010637"
"04172","C030401","C120501","C170206"
"04173","C170206","C150401","C150405"
"04174","A040214","A020302","A050601"
"04175","A010602","A090101","A010630"
"04176","B660104","B100305","B430101"
"04177","A010653","A010613","A010619"
"04178","A010501","A010101","A020302"
"04179","B100502","B100401","B140103"
"04180","C130301","C120101","C120601"
"04181","A011004","A010302","A010608"
"04182","A010602","A010401","A040601"
"04183","B100305","B100501","B100503"
"04184","A020302","A010707","A010501"
"04185","B740101","B470104","B140101"
"04186","C170701","C070101","C070102"
"04187","A040224","A010608","B100305"
"04188","C120601","C030901","C090101"
"04189","B150404","B100504","B140103"
"04190","A010401","A010302","A010404"
"04191","B100502","B100305","B480301"
"04192","A010403","A020306","A010103"
"04193","A010608","A020302","A040224"
"04194","C170206","C150405","C010206"
"04195","B160201","B210802","B200801"
"04196","B100305","B160402","B740101"
"04197","A020302","B210802","B890104"
"04198","A010402","A010302","A010404"
"04199","A010404","A010613","A010401"
"04200","A010302","A030114","A030103"
"04201","A010302","A010401","A010902"
"04202","C050209","C050205","C110101"
"04203","B300202","B160101","B290102"
"04204","A050501","A010604","A010644"
"04205","A040224","A010644","A010101"
"04206","B740101","B120201","B100504"
"04207","C110606","C150504","C110101"
"04208","C060406","C070202","C150103"
"04209","A010404","A010402","A010302"
"04210","A010302","A010404","A010401"
"04211","B100305","B100504","B100301"
"04212","A040215","A010602","A040214"
"04213","C150405","C010206","C150401"
"04214","B180801","B180902","B181001"
"04215","A010613","A010302","A010402"
"04216","B100305","B470104","B480301"
"04217","A010404","A010653","A010402"
"04218","B160201","B050501","B430101"
"04219","B080601","B160101","B380404"
"04220","A011003","A010613","A010602"
"04221","B100305","B480401","B010102"
"04222","A010644","A010603","A030109"
"04223","C150103","C070101","C030401"
"04224","B100305","B140103","B140101"
"04225","C070101","C070202","C060406"
"04226","A010653","B210802","B210107"
"04227","A010623","A040229","A010101"
"04228","A010302","A010403","A010404"
"04229","A010302","A010404","A010101"
"04230","A020302","A010638","A010644"
"04231","A010403","A010402","A010648"
"04232","A010401","A010402","A010613"
"04233","B100305","B200801","B210107"
"04234","A010403","B210802","A010401"
"04235","C030401","C050205","C090108"
"04236","B380404","B160201","B110203"
"04237","A010403","A010501","A010608"
"04238","C010101","C030107","C030303"
"04239","B100305","B210802","B140202"
"04240","B160201","B160101","B100501"
"04241","B160102","B200801","B100504"
"04242","C030404","C170206","C070101"
"04243","B100305","B140103","B140101"
"04244","B740101","B100305","B140101"
"04245","C070101","C150405","C050107"
"04246","A030101","A020302","A010624"
"04247","C070102","C070101","C030401"
"04248","B430402","B380404","B210802"
"04249","B160201","B100305","B100301"
"04250","B160101","B100504","B160201"
"04251","C170631","A030114","A010627"
"04252","A020302","A040233","C170206"
"04253","B100504","B480301","B140103"
"04254","A010608","A010404","A010501"
"04255","A010901","A020116","A010630"
"04256","B100305","B210802","B210107"
"04257","B100305","B740101","B100301"
"04258","A020302","A010401","A010402"
"04259","A010401","A020302","A010403"
"04260","A060203","A050601","A020701"
"04261","B210802","A011004","A040222"
"04262","A010613","A020302","A040222"
"04263","A010501","A010302","A010404"
"04264","C030401","B210802","B900103"
"04265","B140103","B140201","B100305"
"04266","A040302","A020206","A020302"
"04267","A020302","A010402","A010401"
"04268","B150602","B210802","B900103"
"04269","B510501","B100305","B510202"
"04270","C150302","C050209","C010206"
"04271","A010631","A010653","C030401"
"04272","A040902","C070103","C120201"
"04273","B160201","B160202","B160101"
"04274","A010613","A010401","A010302"
"04275","B100301","B100504","B100306"
"04276","A010403","C170701","C030901"
"04277","A010403","A010401","A010402"
"04278","B100502","B100305","B140103"
"04279","C070202","C110101","C070103"
"04280","B150402","B150401","B210802"
"04281","B100305","B100504","B650204"
"04282","B100502","B670402","B100301"
"04283","C120601","C120101","C070101"
"04284","B290301","B290306","B900102"
"04285","B200801","B200602","B100305"
"04286","C070101","C030401","C030901"
"04287","B210802","B900103","B740101"
"04288","C030401","C060406","C070103"
"04289","C070101","C150405","C170206"
"04290","B100402","B670206","B160202"
"04291","B100305","B480301","B650202"
"04292","A010402","A010403","A010201"
"04293","A010404","A040224","A010302"
"04294","A010302","A010404","A010201"
"04295","B100402","B150104","B150102"
"04296","A010602","A010603","A010613"
"04297","A010404","A010402","A010401"
"04298","B100305","B210107","B430101"
"04299","A010613","A010902","A010404"
"04300","B100305","B140103","B200801"
"04301","C030401","C070202","C150302"
"04302","C120501","C120202","C110101"
"04303","A010603","A010401","A010601"
"04304","A010613","A020103","B240401"
"04305","C120201","C120601","C120101"
"04306","A010608","A010101","A010404"
"04307","A011004","A010653","A010613"
"04308","C170206","C030401","C030901"
"04309","A010902","A010608","A010402"
"04310","A010404","A010402","A010302"
"04311","B100504","B100401","B100305"
"04312","B050106","B160402","B140103"
"04313","C030901","C070201","C110101"
"04314","B430101","B010208","B110203"
"04315","A010613","A010607","C070401"
"04316","B100305","B670404","B480301"
"04317","B100305","B100501","B050502"
"04318","A010602","A010601","A011004"
"04319","B910202","C070101","A010613"
"04320","A040229","B480301","B430101"
"04321","C070103","C070202","C090101"
"04322","C170206","A020302","A010404"
"04323","C170206","C070201","C110101"
"04324","A010401","A010302","A010710"
"04325","A010404","A010601","A011004"
"04326","A011003","A010404","A010613"
"04327","A010403","A010619","A010603"
"04328","A010401","A040224","A020302"
"04329","A020302","A010302","A010401"
"04330","C120101","C120601","C150101"
"04331","C120201","C060406","C070203"
"04332","A010401","A010902","A011001"
"04333","B100402","B430101","B100305"
"04334","B740101","B210802","B270302"
"04335","B080203","B240101","B240401"
"04336","B430101","B480301","B200801"
"04337","B100305","C110101","C150101"
"04338","A090201","A010403","A040224"
"04339","C120601","C120101","C120202"
"04340","A020302","A010302","A040215"
"04341","A020302","A010653","A011001"
"04342","C170701","C070202","C030901"
"04343","B370906","B370304","B370504"
"04344","A010101","A060202","A040217"
"04345","A040224","A011004","A010403"
"04346","B740101","B120201","B160201"
"04347","A011004","A010402","A010404"
"04348","A030103","A040401","A020302"
"04349","B210802","B900102","B740101"
"04350","A040223","A010644","A010648"
"04351","C070101","C170701","C150405"
"04352","B140103","B100305","B140101"
"04353","C120501","C120601","C120202"
"04354","B150101","B150102","B100305"
"04355","B140103","B100305","B100504"
"04356","A010653","A010201","A010644"
"04357","A020302","C170206","C150101"
"04358","A020302","A010613","A040224"
"04359","B100305","B140103","B740101"
"04360","A011003","A010101","A010644"
"04361","A010606","A020302","A010603"
"04362","A020303","A020302","A060201"
"04363","B100305","B740101","B200801"
"04364","A011004","A010402","A010902"
"04365","A010302","A010402","A010404"
"04366","B100305","B100402","B100501"
"04367","B100305","B100501","B100503"
"04368","A010902","A011004","A010608"
"04369","A040214","A020302","A040302"
"04370","C070103","C170206","C170701"
"04371","A010603","A040233","A010608"
"04372","C170701","C030901","C030303"
"04373","B100305","B100402","B140102"
"04374","C030901","C050102","C010206"
"04375","A010403","A010302","A010401"
"04376","B150404","B150402","B100502"
"04377","B210802","B140103","B140101"
"04378","A040217","A010401","A040224"
"04379","C120201","C170701","B160201"
"04380","B140103","B100305","B480301"
"04381","A010401","A010404","A010402"
"04382","A010401","A040215","A040222"
"04383","A010403","A040401","A010644"
"04384","A060203","A020302","A010401"
"04385","C120501","C110101","C120601"
"04386","C070101","C030401","C050107"
"04387","A010608","A010901","A010101"
"04388","A020302","A040225","A010645"
"04389","A020302","C010206","C170206"
"04390","C150103","C170701","C130703"
"04391","B100504","B530401","B520204"
"04392","C070101","C090101","C150405"
"04393","B670302","B150102","B210802"
"04394","B160201","B160101","B050106"
"04395","C170701","C120101","C120201"
"04396","B160101","B210802","B210107"
"04397","A010603","A010607","A010630"
"04398","B160201","B100305","B900103"
"04399","A010901","A040902","A040214"
"04400","C070101","C030401","C030901"
"04401","C070101","C030401","C170206"
"04402","B100501","B430302","B100503"
"04403","A011003","A010103","A010613"
"04404","A010631","A040254","A010401"
"04405","A020302","B100401","C030401"
"04406","A010613","A090102","A090101"
"04407","C120201","C070101","C030901"
"04408","A040902","A010608","A010404"
"04409","A010403","A010302","A010631"
"04410","A010613","A020303","A020302"
"04411","B100302","B100504","B200801"
"04412","A060203","A040215","A030101"
"04413","B160201","B100305","B740101"
"04414","A020302","A011001","A010401"
"04415","B100305","B740101","B140103"
"04416","B100305","B210802","B140101"
"04417","A040302","A010402","A010501"
"04418","B270301","B140101","B140201"
"04419","A060166","B070303","B110203"
"04420","C170206","A010103","A010603"
"04421","C160920","C070103","C080201"
"04422","A060114","A010602","A010644"
"04423","C070101","C070102","C150405"
"04424","C110204","C150101","C110203"
"04425","A010631","A080106","A050306"
"04426","B100504","A010710","A010401"
"04427","A010613","A020302","A020206"
"04428","A010613","A010402","A011004"
"04429","C030704","C030401","C030901"
"04430","A010627","A010403","A010101"
"04431","C170206","A011001","C030901"
"04432","A040222","A090101","A010201"
"04433","A040302","A040222","A010101"
"04434","A040224","B100305","C070101"
"04435","B100305","B380303","B670402"
"04436","A010302","C070102","C070202"
"04437","A010403","A010404","A010613"
"04438","A010402","A010403","A060114"
"04439","A010626","A010654","A011004"
"04440","C030204","C030103","C070101"
"04441","B290306","B290303","B100504"
"04442","B100504","B140101","B430101"
"04443","B100305","B210802","B100504"
"04444","B100504","B100305","B380403"
"04445","B210802","A020303","B900103"
"04446","A010653","A010401","A010613"
"04447","B100402","B100504","B100502"
"04448","B100502","B140101","B140103"
"04449","A010613","A040224","A010201"
"04450","B100301","B670402","B100504"
"04451","C030401","C070101","B100305"
"04452","A090201","A010613","A010647"
"04453","A040401","A010403","B100305"
"04454","B160202","A040224","B200302"
"04455","B470104","B740101","B100305"
"04456","A010302","A010613","A010401"
"04457","B160202","B140103","B100504"
"04458","B050502","B740603","B470302"
"04459","B210802","B210107","B890104"
"04460","B210802","B210107","B100305"
"04461","B630102","B160101","B630103"
"04462","B100305","B160201","B100503"
"04463","A060114","A010604","A010801"
"04464","B140103","B740101","B100502"
"04465","A020302","A080111","A060166"
"04466","A010613","A040222","A010602"
"04467","B100305","B380402","B100501"
"04468","B100305","B050501","B140103"
"04469","A010606","A010402","A010602"
"04470","A010201","A040215","A040224"
"04471","A010608","A010404","A010101"
"04472","A010402","A010404","A010302"
"04473","A020302","A060201","A040215"
"04474","C010206","C030901","C050301"
"04475","A060203","A020302","A020303"
"04476","A010403","A060203","A010404"
"04477","B100305","B170203","B670303"
"04478","B100305","B080504","B110203"
"04479","A010601","A010607","A010302"
"04480","C030401","C170701","C030202"
"04481","A020302","A010402","A020303"
"04482","C070101","C120501","B100501"
"04483","A020302","A010404","A010101"
"04484","B160101","B650202","B480401"
"04485","A010302","A010401","A010404"
"04486","B521301","B140103","B480301"
"04487","A020302","B210802","A040224"
"04488","A010611","A010608","A010101"
"04489","C070202","C070101","C050602"
"04490","A010403","A040224","A010404"
"04491","B140103","B100305","B160202"
"04492","A040224","A010638","A010404"
"04493","B160201","B160101","B210802"
"04494","A030113","A010403","A080106"
"04495","A010404","A010402","A010608"
"04496","A010402","A010403","A010401"
"04497","C030401","C060504","C090101"
"04498","B100305","B150401","B200801"
"04499","A010401","A010302","A010608"
"04500","C070202","C150103","C110101"
"04501","A010402","A090201","A040224"
"04502","B210802","B100305","B160201"
"04503","B370906","B100701","B740502"
"04504","A020302","A010602","A010401"
"04505","B150102","A020302","B900103"
"04506","B210802","B210107","B100305"
"04507","C120601","C120501","C150101"
"04508","C120101","C150103","C030401"
"04509","C030901","C070101","C010206"
"04510","C110601","C070103","C150403"
"04511","A010201","A010404","A010401"
"04512","A090201","A011003","A030113"
"04513","A010404","A010902","A010401"
"04514","B050117","B670402","B100305"
"04515","C070103","C120601","C070102"
"04516","B200801","B100305","B100501"
"04517","A020302","A040229","A040214"
"04518","A010401","A020302","A010402"
"04519","A010901","A010401","A010408"
"04520","A040222","A020303","A040209"
"04521","B100305","B890102","B100301"
"04522","B160402","B140103","B210802"
"04523","A060203","A010302","A010402"
"04524","B160201","B210802","B100305"
"04525","A010619","A010606","A040217"
"04526","B140103","B100502","B140101"
"04527","A020302","A060202","A060201"
"04528","C070101","C170206","C030401"
"04529","B100305","B430101","B100504"
"04530","B140103","B380404","B010102"
"04531","C150302","C170701","C010206"
"04532","A040222","A010101","A010627"
"04533","C030401","C150405","C010101"
"04534","B160102","B160201","B160101"
"04535","A010401","A010402","A010614"
"04536","A010402","A010611","A010613"
"04537","A040228","A040229","A040217"
"04538","B100305","B290102","B740101"
"04539","A040401","A010202","A020302"
"04540","B380407","B380406","B210802"
"04541","B310201","B080601","B430101"
"04542","A010302","A010404","A010402"
"04543","B160102","B100305","B740101"
"04544","B210802","B210107","B100305"
"04545","A010613","A040302","A010401"
"04546","A040401","A020302","C030901"
"04547","A010302","A010608","A010402"
"04548","A010202","A020302","A010404"
"04549","C120201","B330605","C050209"
"04550","A010201","A010404","A010710"
"04551","B100305","B100504","B210802"
"04552","A020302","A040220","A030102"
"04553","B100305","B100504","B480301"
"04554","C070101","C010206","C170701"
"04555","B740101","B120201","B100504"
"04556","C110101","C110602","C160920"
"04557","B160102","B100402","B740101"
"04558","B200801","B140202","B210802"
"04559","C170701","C150405","C150401"
"04560","A010613","B150601","A020302"
"04561","A011004","A010401","A010404"
"04562","B100305","B100501","B150104"
"04563","A010801","A010407","A080106"
"04564","B160202","B290405","B150601"
"04565","B380409","B430101","B380307"
"04566","B050117","B210802","B100301"
"04567","B160201","B210802","B560302"
"04568","A010403","A010401","A010613"
"04569","C040601","C170206","C030401"
"04570","C060402","C090108","C110402"
"04571","A010613","A010402","A010623"
"04572","A010403","A010302","A010404"
"04573","A010103","A010302","A011004"
"04574","B100305","B110203","B210802"
"04575","A010302","A010404","A010501"
"04576","A010402","A010404","A010302"
"04577","B050901","B380407","B890102"
"04578","C070101","C060503","C150401"
"04579","A010403","A010401","A011004"
"04580","A010653","A011003","A010604"
"04581","B100305","B740101","B120201"
"04582","A010101","A010402","A010403"
"04583","A010401","A010402","A010302"
"04584","B210802","B210107","B160201"
"04585","B570202","B210802","B570201"
"04586","A040229","C170206","A011001"
"04587","A010404","A010401","A010402"
"04588","A040247","A050306","A010644"
"04589","A010403","A020302","A010401"
"04590","C070103","C070202","B150101"
"04591","A011004","A010404","A010302"
"04592","A090201","A010612","A010207"
"04593","B100305","A060114","B140103"
"04594","B210802","B670402","B140301"
"04595","B100305","B160201","B100504"
"04596","B100305","B210802","B020102"
"04597","A040401","A010402","A010404"
"04598","B100305","B050117","B430101"
"04599","A090201","A010401","A010402"
"04600","C070101","C090101","C150405"
"04601","A010404","A010402","A010901"
"04602","C110401","C130301","C120201"
"04603","B160201","B160101","B160402"
"04604","B430101","B200801","B480301"
"04605","A020302","A010403","A010302"
"04606","A020302","A020303","A040217"
"04607","B100301","B480301","B740101"
"04608","A010404","A010402","A010302"
"04609","B100402","A010403","A010613"
"04610","A040222","A060202","A010604"
"04611","A010403","A010302","B050117"
"04612","A040224","A040233","A010613"
"04613","C030401","C150103","C070101"
"04614","A010903","A040222","A010647"
"04615","A010644","A010648","A010302"
"04616","A010403","A010402","A010404"
"04617","A010710","A010302","A010603"
"04618","A010302","A010402","A010404"
"04619","B100305","B140103","B210802"
"04620","A010302","A010401","A020302"
"04621","B550115","B140103","B100301"
"04622","C030401","C030901","C150401"
"04623","C120601","C070101","C150101"
"04624","C170206","A010644","A040224"
"04625","C120601","C120101","C120501"
"04626","B290304","B290306","B900102"
"04627","A060202","A010402","A010401"
"04628","C060506","C030401","C030901"
"04629","B900103","B670302","B670201"
"04630","A040222","A040401","A060114"
"04631","C070103","C150103","C030401"
"04632","A011003","B150402","B670403"
"04633","A020302","A080106","A040224"
"04634","C070101","C060402","C150101"
"04635","C070103","C030401","C030901"
"04636","A010404","A010401","A010403"
"04637","A010403","A010401","A010302"
"04638","A010602","A010645","A010603"
"04639","B160201","B200801","B210107"
"04640","A010403","A010401","A040215"
"04641","B100305","B480301","B110203"
"04642","B670402","B100301","B100504"
"04643","C150103","C080201","C150101"
"04644","C070101","C030401","C170701"
"04645","B210802","A020302","B210107"
"04646","C170206","C030401","C070101"
"04647","C030202","C030401","C030208"
"04648","B100502","B740101","B140103"
"04649","A040233","C150101","C150401"
"04650","A060114","C070202","A040601"
"04651","A010644","A010606","A010612"
"04652","A011003","A040228","A020302"
"04653","A010302","A010608","A010401"
"04654","A010608","A010404","A010302"
"04655","A010403","A020302","A010401"
"04656","A010644","A010401","A030101"
"04657","B100305","B140302","B200801"
"04658","C170206","A010302","C130301"
"04659","A010501","A010407","A010302"
"04660","A010613","A010401","A011004"
"04661","A020501","A010401","A010402"
"04662","A050311","A010646","A010602"
"04663","A020306","A010401","A040222"
"04664","A060203","A010613","A040224"
"04665","B200801","B210802","B210107"
"04666","A040233","A040215","A040222"
"04667","B100305","B100504","B150601"
"04668","A010613","A011003","A010401"
"04669","B100305","B100504","A010402"
"04670","C120501","C170701","C060504"
"04671","B210802","B100305","B200801"
"04672","A020302","C070101","A010302"
"04673","B140103","B150102","B140503"
"04674","A010404","A010401","A010302"
"04675","A040224","A050601","A040229"
"04676","B740102","A010710","A010601"
"04677","A030114","A010654","A010613"
"04678","C170206","D010401","D010301"
"04679","A010401","A010201","A010501"
"04680","B510501","B370906","B080403"
"04681","C070401","A010302","C070102"
"04682","B210802","B900103","B200801"
"04683","C170701","C070101","C060406"
"04684","A010302","A010207","A011003"
"04685","B140102","B100502","B100305"
"04686","A010101","A010302","A011001"
"04687","B100504","A010653","A010401"
"04688","B100305","B140103","B140101"
"04689","A060203","A010402","A020105"
"04690","A010402","A010404","A010302"
"04691","B140103","B080601","B740101"
"04692","B100305","B110602","B050502"
"04693","A010401","B210802","A010101"
"04694","A010201","A010404","A010302"
"04695","A010903","A010404","A010402"
"04696","C120501","C070101","C150401"
"04697","A010631","B100502","B100101"
"04698","B150402","C110203","B140103"
"04699","A080102","A040224","A010652"
"04700","B200801","B100305","B200602"
"04701","A010302","A010902","A010404"
"04702","A010402","A010404","A010501"
"04703","A090201","A060166","A010602"
"04704","B150601","B210802","B910204"
"04705","C030901","C070101","C150101"
"04706","B100305","B160201","B890103"
"04707","C130206","C160201","C070102"
"04708","A011004","A010101","A010103"
"04709","A010103","A010101","A010501"
"04710","A010401","A010402","A010201"
"04711","A040215","A010654","C170206"
"04712","A010402","A040224","A010631"
"04713","B200801","B200602","B140203"
"04714","A010604","A010710","B150104"
"04715","A010653","C070102","C170206"
"04716","C030401","C070102","C030404"
"04717","B210802","B210107","B050108"
"04718","B100504","B140102","B140101"
"04719","B100301","B100306","B100305"
"04720","A010501","A010401","A010404"
"04721","C070101","C010206","C010110"
"04722","A010403","A010607","A010603"
"04723","C070101","C070202","C030401"
"04724","B200801","B740101","B100305"
"04725","A020302","A040222","B100305"
"04726","A011001","A040224","A010606"
"04727","B210802","B670402","B100305"
"04728","B100305","B160201","B140103"
"04729","A010404","A010302","A010608"
"04730","A060203","C010206","A020302"
"04731","C150101","C030401","C150103"
"04732","A010404","A010403","A010402"
"04733","A020303","A020302","A080106"
"04734","A010404","A010401","A010402"
"04735","A010613","A010401","A020302"
"04736","A010302","A010301","A010101"
"04737","A010403","A011001","A010302"
"04738","A010403","A010302","A010401"
"04739","A010403","A010402","A090102"
"04740","B210802","A040220","A040222"
"04741","A050602","A010902","A011004"
"04742","C070103","C030401","C170206"
"04743","A060114","A040224","A010644"
"04744","B451108","B450501","B080601"
"04745","A020302","A010403","A010644"
"04746","C070101","A040217","A010401"
"04747","B100504","B100301","B140103"
"04748","A010902","A010601","A010602"
"04749","B100305","B210107","B140103"
"04750","B740101","B890103","B430101"
"04751","A020302","A040224","B100305"
"04752","B210802","A010902","B210107"
"04753","B100305","B160201","B140101"
"04754","A090201","A010404","A010302"
"04755","B100305","B900103","B150104"
"04756","A010653","A010613","C070101"
"04757","A040401","A010403","A010101"
"04758","B890103","B100305","B380404"
"04759","A010902","A010630","A010607"
"04760","B380406","B100301","B100306"
"04761","A040902","A010644","A040208"
"04762","A010608","A010101","A010402"
"04763","B740101","B140103","B480401"
"04764","A010648","A040222","A010630"
"04765","A020302","A040214","A010613"
"04766","B160202","B430101","B160201"
"04767","A010705","A010101","A010902"
"04768","B100402","B100405","B140103"
"04769","A011004","C070202","A010608"
"04770","C170206","A010710","C120601"
"04771","B100305","B140102","B740101"
"04772","B900103","B100402","B900102"
"04773","A010401","A010613","A010403"
"04774","B100305","B100502","A010613"
"04775","B100301","B051404","B650203"
"04776","A010302","A010401","A010404"
"04777","A020302","A010403","B050117"
"04778","B100305","B100404","B150207"
"04779","A010101","A010606","A011004"
"04780","C070202","C150405","C070101"
"04781","A011001","A010401","B210802"
"04782","B140103","B160201","B160101"
"04783","B200801","B740101","B430101"
"04784","A010710","A010501","A010404"
"04785","B100305","B380303","B100504"
"04786","B210802","A010101","A020302"
"04787","C070101","C150405","C130301"
"04788","A020302","A040225","A080106"
"04789","A010613","A010631","A040224"
"04790","C040601","C030401","C050205"
"04791","A010401","A010902","A010101"
"04792","A040228","A060202","A010401"
"04793","B010102","B100305","B050112"
"04794","C070103","C070101","C030401"
"04795","B100504","B100402","B430101"
"04796","B160201","B100305","B100301"
"04797","A010401","A010402","A010404"
"04798","A010302","A020302","A010404"
"04799","B210802","A020302","C170701"
"04800","A040228","A040602","A020302"
"04801","C070101","B900103","B150404"
"04802","B530401","B650202","B100503"
"04803","B100305","B140103","B210802"
"04804","B100305","B100402","B140103"
"04805","C120101","C120601","C120202"
"04806","B100501","B100305","B140201"
"04807","C160920","C060402","C170701"
"04808","A060114","A010401","A010601"
"04809","B140101","B740101","B120201"
"04810","A020302","C150405","A010644"
"04811","A040401","A020302","A060114"
"04812","A010404","A010302","A010601"
"04813","A010302","A010902","A010103"
"04814","A040224","A040254","A020302"
"04815","A010302","A010101","A010608"
"04816","B100305","B150601","B430101"
"04817","B100305","B160201","B210802"
"04818","A020302","A010710","C170206"
"04819","B050101","B140102","B050501"
"04820","A020302","A040223","A010644"
"04821","A060203","A060114","A090101"
"04822","A010302","A020302","A040224"
"04823","A010403","A010401","A010402"
"04824","A010901","A010401","A010402"
"04825","A020106","A040233","A060132"
"04826","A040222","A010302","A010404"
"04827","A010402","A010404","A010302"
"04828","B010102","B010106","B100301"
"04829","A010302","A010401","A010608"
"04830","A040302","A020302","A020701"
"04831","B100504","B100305","B100301"
"04832","B100301","B100502","B210802"
"04833","A010403","A010302","A010402"
"04834","B290301","B310101","A020208"
"04835","A010302","A010402","A010403"
"04836","C070101","C030401","C150405"
"04837","A040229","A010604","B200801"
"04838","B200801","B100404","A040224"
"04839","C070101","C030401","C030901"
"04840","B160101","B160201","B200801"
"04841","A010602","A010606","A010601"
"04842","B160201","B150404","B100305"
"04843","A010602","A010603","A010644"
"04844","B100504","B100306","B560102"
"04845","B430101","B890103","B140102"
"04846","B100306","B100301","B100504"
"04847","A010652","A040229","A010101"
"04848","A020302","A060202","A040217"
"04849","A030114","A010623","A011001"
"04850","A090201","A010648","B100305"
"04851","A010710","A010606","A010603"
"04852","A010403","A010402","A010401"
"04853","A040224","A010302","A040217"
"04854","C170206","C070401","C070101"
"04855","A010630","A010619","A011003"
"04856","B210802","B100305","B100504"
"04857","B100305","B100504","B100501"
"04858","A010401","A010302","A010404"
"04859","A010613","B650302","B210802"
"04860","A010201","A010302","A010202"
"04861","A010302","A010404","A010402"
"04862","B210802","B210107","B140103"
"04863","A010902","A010404","A010302"
"04864","A010631","A010613","A010627"
"04865","A010501","A010710","A010404"
"04866","A040222","A040214","A010613"
"04867","A010404","A010302","A010601"
"04868","C030401","C170206","C150103"
"04869","C070101","C070201","C170701"
"04870","B650204","B100504","B610202"
"04871","C170206","C070203","C070101"
"04872","C030401","C070203","C170401"
"04873","A020302","A040215","A010602"
"04874","A010404","A010902","A010608"
"04875","A020302","A011004","A010901"
"04876","B150102","B150101","B100301"
"04877","A020302","A010401","A010403"
"04878","A020302","A010302","B210802"
"04879","B140102","B140103","B100301"
"04880","A010603","A011003","A010403"
"04881","C030401","C170701","C030901"
"04882","B100402","B380304","B210802"
"04883","A020302","A011001","A040224"
"04884","A040222","A010644","A040220"
"04885","B190101","B190906","B190901"
"04886","B100305","B370404","B050501"
"04887","A040229","A040217","A040209"
"04888","A040214","A010402","A010404"
"04889","A010403","A020302","A010401"
"04890","C110101","C110501","B430101"
"04891","A010401","A010603","A011004"
"04892","C070101","C070202","C150101"
"04893","B100305","B140103","B430101"
"04894","A020302","A070608","A010403"
"04895","A010403","A010201","A010302"
"04896","B100301","B210802","B210107"
"04897","B100305","B210802","B430101"
"04898","A011003","A010655","A010637"
"04899","B310501","B380404","B900103"
"04900","A010644","A010613","A040224"
"04901","C080301","C170701","C150101"
"04902","B210802","B210107","B200302"
"04903","B100305","B140103","B430101"
"04904","A010653","A011004","A010631"
"04905","A011001","A030101","A040233"
"04906","B140103","B430101","B100301"
"04907","A010403","A010501","A010402"
"04908","B100305","B210802","B100501"
"04909","A010401","A010302","A010403"
"04910","A010402","A010401","A010404"
"04911","C060504","C010206","C070103"
"04912","A020302","A010404","A010401"
"04913","A040401","A010644","A010302"
"04914","B380404","B380303","B430101"
"04915","A010613","A010302","A010404"
"04916","C170701","C170631","C070102"
"04917","B100305","B210107","B100502"
"04918","B670402","B110203","B430101"
"04919","B100305","B080601","B140102"
"04920","C090108","C110402","C060406"
"04921","C070101","C170206","C110601"
"04922","A010302","A010608","A010630"
"04923","B100305","B200801","B160202"
